query_index,cf_id,etfruit,eatveg,cgtsmok,alcfreq,slprl,paccnois,bmi,dosprt,hltprhc,valid,risk_before,predicted_risk_after,target_risk,cf_gen_time_sec,gower_distance
0,original,4,3,3,4,2,0,18.9865907203038,0,,,0.0633,,0.0317,2.39,
0,cf_1,,,,,,,18.69579,,0.0,False,0.0633,0.06,0.0317,,0.8883
0,cf_1,,,,7,,,18.97453,,0.0,False,0.0633,0.07,0.0317,,0.8756
0,cf_1,,,,,,,16.2474,5,0.0,False,0.0633,0.0967,0.0317,,1.0
0,cf_1,,,6,7,,,18.97453,,0.0,False,0.0633,0.0933,0.0317,,0.8756
0,cf_1,,,,7,,,18.97453,7,0.0,True,0.0633,0.03,0.0317,,0.8756
0,cf_1,,,5,,,,18.96193,2,0.0,True,0.0633,0.0267,0.0317,,0.8761
0,cf_1,1,1,,,,,18.96193,,0.0,False,0.0633,0.12,0.0317,,0.8761
0,cf_1,,2,,,,,18.96193,7,0.0,False,0.0633,0.07,0.0317,,0.8761
0,cf_1,1,2,,,,,18.96193,,0.0,False,0.0633,0.1533,0.0317,,0.8761
0,cf_1,3,,,,,,18.96193,3,0.0,True,0.0633,0.0167,0.0317,,0.8761
1,original,3,4,1,2,3,0,22.3756799506192,0,,,0.1467,,0.0733,2.46,
1,cf_1,,,,,,,22.37568,,0.0,False,0.1467,0.1467,0.0733,,0.8796
1,cf_1,,,4,,,,22.37568,4,0.0,False,0.1467,0.13,0.0733,,0.8796
1,cf_1,,,,7,,,22.37568,7,0.0,False,0.1467,0.0767,0.0733,,0.8796
1,cf_1,,,,3,1,,22.37568,,0.0,True,0.1467,0.0,0.0733,,0.8796
1,cf_1,,,,,2,,22.37568,7,0.0,False,0.1467,0.09,0.0733,,0.8796
1,cf_1,,,,,1,,22.37568,1,0.0,True,0.1467,0.05,0.0733,,0.8796
1,cf_1,,3,,,,,22.37568,6,0.0,False,0.1467,0.1667,0.0733,,0.8796
1,cf_1,2,,,,1,,22.37568,,0.0,True,0.1467,0.01,0.0733,,0.8796
1,cf_1,,,2,,1,,22.37568,,0.0,True,0.1467,0.0233,0.0733,,0.8796
1,cf_1,,3,2,,,,22.37568,1,0.0,False,0.1467,0.12,0.0733,,0.8796
2,original,5,3,1,1,4,0,22.6940189315895,7,,,0.1567,,0.0783,2.64,
2,cf_1,,,,,2,,22.67574,,0.0,False,0.1567,0.1067,0.0783,,0.8754
2,cf_1,,,,,,,16.80449,,0.0,False,0.1567,0.21,0.0783,,1.0
2,cf_1,1,,4,,,,22.67995,,0.0,False,0.1567,0.2933,0.0783,,0.8753
2,cf_1,3,,,,2,,22.67995,,0.0,True,0.1567,0.0133,0.0783,,0.8753
2,cf_1,,,,3,2,,22.67574,,0.0,False,0.1567,0.0867,0.0783,,0.8754
2,cf_1,1,,,2,,,22.67574,,0.0,False,0.1567,0.09,0.0783,,0.8754
2,cf_1,1,,,6,,,22.67574,,0.0,False,0.1567,0.14,0.0783,,0.8754
2,cf_1,2,,,,3,,22.67574,,0.0,False,0.1567,0.1633,0.0783,,0.8754
2,cf_1,2,,4,,,,22.67574,,0.0,False,0.1567,0.2133,0.0783,,0.8754
2,cf_1,1,,,7,,,22.67574,,0.0,False,0.1567,0.2,0.0783,,0.8754
3,original,3,3,6,6,2,0,24.3417582863402,1,,,0.02,,0.01,2.74,
3,cf_1,,,,,,,24.33748,,0.0,True,0.02,0.01,0.01,,0.8753
3,cf_1,,,,,,,23.15222,,0.0,False,0.02,0.0967,0.01,,0.9494
3,cf_1,,,,,,,22.34283,,0.0,False,0.02,0.2033,0.01,,1.0
3,cf_1,,,,7,,,24.33748,,0.0,False,0.02,0.0333,0.01,,0.8753
3,cf_1,,,,,,,24.33748,5,0.0,False,0.02,0.2333,0.01,,0.8753
3,cf_1,,,,,,,24.33748,4,0.0,False,0.02,0.02,0.01,,0.8753
3,cf_1,,,,,,,24.33748,3,0.0,True,0.02,0.0,0.01,,0.8753
3,cf_1,,,,,,,24.33748,2,0.0,True,0.02,0.0033,0.01,,0.8753
3,cf_1,,,,,1,,24.33748,,0.0,False,0.02,0.2933,0.01,,0.8753
3,cf_1,,,,,,,24.33748,7,0.0,False,0.02,0.3833,0.01,,0.8753
4,original,5,4,2,7,1,0,21.2585034013605,3,,,0.0267,,0.0133,2.85,
4,cf_1,,,,,,,21.2585,,0.0,False,0.0267,0.0267,0.0133,,0.9868
4,cf_1,,,5,,,,21.2585,,0.0,True,0.0267,0.0067,0.0133,,0.9868
4,cf_1,,,3,,,,21.2585,,0.0,True,0.0267,0.01,0.0133,,0.9868
4,cf_1,,3,,,,,21.2585,,0.0,True,0.0267,0.0133,0.0133,,0.9868
4,cf_1,,,6,,,,21.2585,,0.0,True,0.0267,0.0033,0.0133,,0.9868
4,cf_1,4,,,,,,21.2585,,0.0,False,0.0267,0.03,0.0133,,0.9868
4,cf_1,3,,,,,,21.2585,,0.0,False,0.0267,0.0533,0.0133,,0.9868
4,cf_1,,,6,,,,21.2585,5,0.0,True,0.0267,0.0033,0.0133,,0.9868
4,cf_1,2,1,,,,,21.2585,,0.0,False,0.0267,0.05,0.0133,,0.9868
4,cf_1,1,2,,,,,21.2585,,0.0,False,0.0267,0.0333,0.0133,,0.9868
5,original,2,2,1,2,4,0,27.9903628117914,0,,,0.3267,,0.1633,2.6,
5,cf_1,,,,,,,27.99036,,0.0,False,0.3267,0.3267,0.1633,,1.0857
5,cf_1,,,4,,,,27.99036,,0.0,False,0.3267,0.45,0.1633,,1.0857
5,cf_1,,,3,,,,27.99036,,0.0,False,0.3267,0.35,0.1633,,1.0857
5,cf_1,,,2,,,,27.99036,,0.0,False,0.3267,0.32,0.1633,,1.0857
5,cf_1,,,,,1,,27.99036,,0.0,True,0.3267,0.0833,0.1633,,1.0857
5,cf_1,,,2,6,,,27.99036,,0.0,False,0.3267,0.3067,0.1633,,1.0857
5,cf_1,,,2,5,,,27.99036,,0.0,False,0.3267,0.2833,0.1633,,1.0857
5,cf_1,,,,7,,,27.99036,7,0.0,True,0.3267,0.1267,0.1633,,1.0857
5,cf_1,,,,6,1,,27.99036,,0.0,True,0.3267,0.12,0.1633,,1.0857
5,cf_1,,,,5,1,,27.99036,,0.0,True,0.3267,0.03,0.1633,,1.0857
6,original,2,3,5,4,1,0,27.681660899654,4,,,0.1467,,0.0733,2.34,
6,cf_1,,,,,,,27.61472,,0.0,False,0.1467,0.22,0.0733,,0.8773
6,cf_1,,,,,,,25.84641,,0.0,False,0.1467,0.1167,0.0733,,0.938
6,cf_1,,,,,,,25.78127,,0.0,False,0.1467,0.0767,0.0733,,0.9402
